name,genre,year_of_release,publisher,sales,critic_score,user_score,developer,rating,platform
Dragon's Dogma,Role-Playing,2012,Capcom,1.74,78,8.3,Capcom,M,PS3
SSX Tricky,Sports,2001,Electronic Arts,1.73,92,8.9,EA,E,PS2
Crash Bandicoot: The Huge Adventure,Platform,2002,Other,1.73,78,7.9,Vicarious Visions,E,GBA
The Crew,Racing,2014,Ubisoft,1.72,61,5.4,Ubisoft,T,PS4
NBA 2K15,Sports,2014,Take-Two Interactive,1.72,82,6.3,Visual Concepts,E,XOne
Madden NFL 2005,Sports,2004,Electronic Arts,1.72,91,7.6,EA,E,XB
Ace Combat 5: The Unsung War,Simulation,2004,Other,1.71,84,9.1,Namco,T,PS2
Need for Speed Underground,Racing,2003,Electronic Arts,1.71,83,8.7,EA,E,XB
NCAA Football 07,Sports,2006,Electronic Arts,1.7,87,8.6,EA,E,PS2
Resident Evil 4,Action,2005,Capcom,1.69,96,9.4,Capcom,M,GC
Need For Speed: Undercover,Racing,2008,Electronic Arts,1.68,64,5.9,EA,T,X360
The Sims: Superstar,Simulation,2003,Electronic Arts,1.68,79,8.2,Maxis,T,PC
Metroid Fusion,Action,2002,Nintendo,1.68,92,9.1,Nintendo,E,GBA
SSX 3,Sports,2003,Electronic Arts,1.67,93,9.1,EA,E,PS2
Madden NFL 2001,Sports,2000,Electronic Arts,1.67,90,6.8,EA,E,PS
NCAA Football 2004,Sports,2003,Electronic Arts,1.67,94,8.8,EA,E,PS2
Fight Night Round 3,Fighting,2006,Electronic Arts,1.67,83,7.9,EA,T,PS3
SSX,Sports,2000,Electronic Arts,1.66,93,8.3,EA,E,PS2
Shaun White Snowboarding: Road Trip,Sports,2008,Ubisoft,1.66,78,8.7,Ubisoft,E10+,Wii
NBA Ballers,Sports,2004,Midway Games,1.66,83,9.2,Midway,E,PS2
NBA Live 2003,Sports,2002,Electronic Arts,1.66,83,8.3,EA,E,PS2
LEGO Batman 2: DC Super Heroes,Action,2012,Warner Bros. Interactive Entertainment,1.66,79,7.2,TT Games,E10+,X360
Need for Speed Carbon,Racing,2006,Electronic Arts,1.65,77,6.3,EA,E10+,X360
MySims,Simulation,2007,Electronic Arts,1.65,68,7.2,EA,E,Wii
Army of Two,Shooter,2008,Electronic Arts,1.64,72,7.6,EA,M,X360
Tiger Woods PGA Tour 2003,Sports,2002,Electronic Arts,1.64,88,8.9,EA,E,PS2
Prince of Persia: Warrior Within,Action,2004,Ubisoft,1.64,83,8.5,Ubisoft,M,PS2
Far Cry 4,Shooter,2014,Ubisoft,1.63,82,7.5,Ubisoft,M,XOne
ESPN NFL 2K5,Sports,2004,Other,1.63,92,9.1,Visual Concepts,E,XB
Pikmin,Strategy,2001,Nintendo,1.63,89,8.7,Nintendo,E,GC
Tiger Woods PGA Tour 2004,Sports,2003,Electronic Arts,1.63,89,8.8,EA,E,PS2
